,long,lat,City,Country,Date,Cloudiness,Humidity,Max Temp,Wind Speed
657,34.51262158143231,55.33425823391889,vyazma,ru,1600201759,81,79,51.71,4.94
660,108.76841563715573,16.587000085050605,da nang,vn,1600201759,20,83,80.6,2.24
664,7.044192834482999,27.031008138768925,gat,ly,1600201622,0,100,82.99,3.8
665,-88.15366008424607,26.2156321623102,estelle,us,1600201759,90,78,82.99,12.75
667,179.83019772068428,-54.90652192349473,dunedin,nz,1600201760,5,41,55.0,3.0
668,-82.61965618716953,0.8802430671859867,muisne,ec,1600201760,81,78,82.4,10.29
675,105.68878796188307,23.341797871328325,ha giang,vn,1600201474,99,83,78.08,0.78
676,-42.83973009467036,-42.69267132121025,chuy,uy,1600201760,0,71,56.59,10.42
677,-62.82326499361622,23.017035663593873,the valley,ai,1600201761,20,74,89.6,13.87
678,64.77042605655282,3.923508988671898,mahibadhoo,mv,1600201761,77,78,82.4,10.58
679,14.370730528268382,48.046626077431085,garsten,at,1600201761,0,77,68.0,2.24
687,-64.94992849448717,16.7358978398145,vieques,us,1600201761,40,66,88.0,18.34
703,4.514360530464273,68.53149538630578,bud,no,1600201762,1,38,73.99,4.72
707,-76.66540605277574,52.56259403528355,matagami,ca,1600201762,40,76,50.0,11.41
709,-13.10701790741453,0.7839238921293941,buchanan,lr,1600201762,75,94,77.0,4.7
710,11.99483200845114,-3.200482935353051,mossendjo,cg,1600201763,100,82,73.29,5.7
712,83.56788589667889,29.735385469815597,jumla,np,1600201763,100,68,59.14,0.87
713,16.696746911469745,72.03784374362988,andenes,no,1600201763,75,93,44.6,8.05
717,-144.86691807613656,77.64895166991221,fairbanks,us,1600201763,75,62,55.99,4.7
722,156.34731820037615,65.54570989276328,omsukchan,ru,1600201764,100,73,39.78,3.04
724,118.96571557165026,-31.513597402551362,northam,au,1600201764,0,97,61.0,1.01
726,-61.27443879281451,-7.73500289892813,aripuana,br,1600201764,3,11,105.53,4.14
730,158.1536910078724,-19.408288111399585,poum,nc,1600201764,100,73,71.26,17.72
731,8.295045889671542,68.57103536297137,sorland,no,1600201764,75,93,46.4,11.41
732,-100.972423692575,12.256933672988879,acapulco,mx,1600201505,75,79,84.2,6.93
735,-131.86749692995141,63.18618435975884,whitehorse,ca,1600201475,75,40,51.8,13.87
736,16.678771449766685,-14.254589308781647,menongue,ao,1600201765,25,27,66.58,2.01
743,-0.023196588101995985,52.327521328713004,huntingdon,gb,1600201765,93,74,69.01,5.61
745,-46.944026270689136,-16.79188206155925,unai,br,1600201766,0,14,91.11,8.93
749,112.4284464921339,43.6415214901518,erenhot,cn,1600201743,0,57,47.89,19.35
751,-142.26497437748566,76.47633560732879,aklavik,ca,1600201766,20,65,44.6,13.87
752,145.9384287178155,-6.385296058305869,kainantu,pg,1600201766,82,94,59.59,1.99
754,108.92063865441878,11.830408712730716,cam ranh,vn,1600201767,20,88,82.4,3.36
756,-137.004502435364,52.28160631939741,sitka,us,1600201083,1,62,55.4,3.6
758,139.24752503714183,0.5257306486570172,biak,id,1600201767,80,81,75.0,6.29
763,64.79578699260372,1.7095247005134695,kudahuvadhoo,mv,1600201767,100,80,82.26,10.0
767,6.092120199515136,44.12156859389725,manosque,fr,1600201767,1,76,68.0,2.71
768,-49.15635435715254,55.864080564723594,qaqortoq,gl,1600201768,75,43,51.8,12.75
771,68.52529428493699,5.689935245504458,ugoofaaru,mv,1600201768,26,76,82.53,9.69
773,-78.73432230793188,-41.544367050617964,ancud,cl,1600201768,100,68,52.0,1.99
775,93.51764148150568,58.66726985942688,strelka,ru,1600201768,99,89,49.86,6.85
777,-10.972192503247129,16.212574773711736,nioro,ml,1600201768,98,77,82.65,4.54
778,172.81295596546892,-42.207363102542644,hanmer springs,nz,1600201769,1,69,41.25,10.07
780,38.92434498543318,62.07666609559473,konevo,ru,1600201769,1,95,43.23,5.97
781,114.94308315417044,57.56978742980846,balakhninskiy,ru,1600201769,100,81,46.87,3.83
783,38.726838753609684,27.885037052362023,tabuk,sa,1600201769,100,88,73.83,0.81
784,-81.94037317616693,19.47348216448087,west bay,ky,1600201758,20,75,89.6,14.99
788,30.340582237317875,33.76695492940355,pafos,cy,1600201770,20,88,77.0,6.93
793,-5.095250227961628,38.47608204464805,penarroya-pueblonuevo,es,1600201770,23,50,78.8,2.24
797,-61.8281055663675,14.670986625052166,saint-pierre,mq,1600201770,40,68,64.4,8.05
798,28.354469063213458,-82.73559374595949,kruisfontein,za,1600201770,1,82,53.01,1.01
801,-58.99381148050837,-49.736372803837355,rawson,ar,1600201771,0,44,51.53,21.12
807,-101.13937488265339,45.679069707050274,mandan,us,1600201543,1,60,71.6,9.17
812,64.28302232883053,69.0168069039276,severnyy,ru,1600201771,3,82,57.2,8.95
816,44.34704339039703,-18.527956201834144,miandrivazo,mg,1600201772,6,69,76.14,3.38
817,66.54167167929518,67.95042044604395,labytnangi,ru,1600201772,100,93,45.9,4.79
819,71.70268397722975,29.719331606507538,dunyapur,pk,1600201772,40,79,86.0,6.93
824,-16.09499143953434,1.605810137349721,mattru,sl,1600201772,100,97,73.94,2.08
827,41.130469323128665,7.511016743501116,ginir,et,1600201773,35,78,63.12,4.34
828,-11.572641083060176,56.56519109155877,ballina,ie,1600201342,35,100,55.99,3.36
830,17.24362702141741,-17.692315198593278,eenhana,na,1600201773,0,13,75.2,8.05
835,-100.46829680593714,35.09137860449334,pampa,us,1600201773,40,42,84.2,11.41
840,42.68716316949474,-31.59343722893569,beloha,mg,1600201773,0,92,65.98,2.51
841,31.1554594701814,19.675694024180643,marawi,sd,1600201774,100,93,75.0,4.0
842,-3.538360574023102,16.386534853002402,goundam,ml,1600201774,63,18,103.12,2.24
843,36.649080058326746,-29.1062316040682,richards bay,za,1600201774,100,73,65.64,5.32
844,175.6802314295362,49.14650086235946,nikolskoye,ru,1600201774,99,87,48.99,4.47
848,131.60219891318735,-3.588219589004467,tual,id,1600201775,96,83,78.48,17.02
850,84.69593038357993,22.834675055658906,gumla,in,1600201775,100,87,74.97,4.25
851,129.12683656732133,67.18259326785255,batagay-alyta,ru,1600201775,27,85,35.62,4.25
852,103.34788091879142,65.36722738320807,tura,ru,1600201345,100,97,74.12,3.27
854,37.65772378395707,15.854275038226774,barentu,er,1600201775,11,67,76.95,3.65
856,-60.917618579926284,-30.291994014500432,rafaela,ar,1600201776,58,26,64.99,5.99
858,-47.19877930027508,-36.8511886530107,rio grande,br,1600201657,99,73,59.32,15.86
859,136.8410588118246,64.97150017831657,khandyga,ru,1600201776,57,94,39.2,3.89
860,-58.915086216919235,-6.329431258007048,jacareacanga,br,1600201776,100,47,95.0,3.36
861,74.50868740078047,7.315793093999716,dhidhdhoo,mv,1600201664,100,78,82.17,11.45
864,130.90274475052104,17.30338646420516,gigmoto,ph,1600201777,100,85,81.21,13.15
867,20.934141277231276,16.317927593329046,biltine,td,1600201777,100,67,77.18,18.54
868,86.36079958300996,32.36971992855477,kathmandu,np,1600201586,75,100,69.8,6.93
869,-119.12149478445778,55.12303044078985,wembley,ca,1600201777,75,82,57.99,9.17
875,63.38807889630985,50.64284899864313,lisakovsk,kz,1600201777,86,74,48.16,23.22
877,162.963581058729,-42.74743455997034,te anau,nz,1600201778,99,88,41.09,9.1
878,-91.86006103937994,38.78766550980512,fulton,us,1600201572,90,56,73.4,14.99
882,15.997930343566708,-17.17770264296243,oshikango,na,1600201778,0,13,75.2,8.05
884,27.112293173973683,-0.0886889671287463,kisangani,cd,1600201778,0,85,72.03,2.28
887,-12.377060949133579,23.972946839446337,atar,mr,1600201779,5,16,102.25,4.36
888,-21.576274742150105,1.2879356596875624,goderich,sl,1600201779,100,64,70.0,19.17
890,84.40333484869342,29.879090898362023,pokhara,np,1600201779,55,78,68.79,1.54
891,-17.501315105794873,49.336990193805946,dingle,ie,1600201779,100,93,75.85,2.17
892,-82.24587619032948,49.283703934907805,kapuskasing,ca,1600201779,90,100,48.2,9.17
893,-54.32908033056093,-11.515854275679914,alta floresta,br,1600201780,26,20,96.8,5.82
895,150.48302633226194,57.30592695587276,magadan,ru,1600201780,35,74,46.42,6.31
899,-42.94002204946324,-47.4591228211631,rocha,uy,1600201780,37,61,58.73,6.13
904,75.55723939449106,8.453699220980482,kollam,in,1600201780,40,94,82.4,3.36
908,40.912399808631164,67.93936524253016,ostrovnoy,ru,1600201781,99,78,44.04,12.73
909,130.076146932038,-14.237489138881969,port keats,au,1600201781,42,81,75.96,3.76
916,-52.229182958487115,-2.762038382522789,senador jose porfirio,br,1600201781,87,37,94.69,0.78
917,-56.33267046861101,3.448076069851467,grand-santi,gf,1600201781,89,50,90.28,1.21
924,-32.607556112325085,2.4777421993345286,touros,br,1600201342,20,61,82.4,13.87
925,-176.2721289802965,-19.10147791455529,pangai,to,1600201782,40,83,73.4,16.11
927,33.88078485874354,48.8591645225392,lykhivka,ua,1600201782,0,75,64.02,6.46
930,85.60234406092997,63.35890613837225,turukhansk,ru,1600201782,86,82,49.46,9.22
932,27.26658370253392,17.869537137110783,umm kaddadah,sd,1600201783,0,33,92.43,6.69
935,-98.98466686006499,-24.75841453930309,pisco,pe,1600201783,45,72,68.0,14.99
936,18.817541515871312,14.522940616882721,ati,td,1600201783,7,53,85.33,5.41
937,86.7005350103367,-33.70228217687763,geraldton,au,1600201783,90,77,64.4,12.75
938,114.6427803430118,16.34711553800024,wanning,cn,1600201784,85,84,80.26,2.37
940,-158.99838935255443,16.173450393077445,ewa beach,us,1600201784,1,65,86.0,5.82
941,129.10954551568256,-35.61053528058164,flinders,au,1600201784,1,90,57.0,1.01
943,-14.274035511828174,35.06547421191564,camacha,pt,1600201784,20,73,73.4,5.82
944,39.292356208909894,56.869150582528874,petrovskoye,ru,1600201784,0,78,47.03,10.78
945,14.351248329550373,34.48592280548387,zurrieq,mt,1600201785,20,78,77.0,11.41
947,-86.04287185398793,15.424373319846609,zamora,hn,1600201785,75,44,78.8,18.34
952,118.39401886483881,5.008647616016148,lahad datu,my,1600201785,100,88,76.68,4.05
955,-93.27036332772954,45.64054122567248,north branch,us,1600201751,1,57,80.01,9.17
961,-55.76835769418,-45.48529606002767,necochea,ar,1600201786,0,40,64.99,8.01
962,104.63425633822789,-1.2367147911328829,simpang,id,1600201786,100,95,75.04,3.53
963,-59.91156556168161,83.33555317906814,narsaq,gl,1600201786,75,43,51.8,12.75
967,-122.71639990713271,50.03932431755214,pemberton,ca,1600201690,90,77,62.6,2.24
968,-108.45663089507727,56.60125518429081,meadow lake,ca,1600201786,20,29,81.0,4.88
976,-57.38878455346429,49.31394817799574,deer lake,ca,1600201787,40,50,53.6,20.8
980,22.584322842686788,12.775511244773938,adre,td,1600201787,100,81,70.32,7.83
984,-57.05846276018647,67.96689064486688,sisimiut,gl,1600201787,100,69,40.86,4.27
985,-130.75317100225348,54.83509114472804,prince rupert,ca,1600201787,1,72,62.6,3.36
986,-10.745218530186321,0.17231481945995597,harper,lr,1600201788,42,86,75.78,10.47
987,28.27304669261403,84.34476565892689,mehamn,no,1600201788,90,93,44.6,9.17
991,-24.1254465247967,-22.54730230400847,caravelas,br,1600201788,0,77,76.32,7.2
993,49.81662569509655,51.9560891111943,pestravka,ru,1600201788,23,78,48.97,12.08
994,-56.33098095597529,55.62087573814381,saint anthony,ca,1600201789,1,44,80.6,13.87
995,147.4574984828156,-9.305950298574302,port moresby,pg,1600201789,75,88,77.0,11.41
996,117.33762709752403,29.283203308942888,jingdezhen,cn,1600201789,100,96,71.31,2.3
1001,-149.7650808508506,-14.828180437650943,fare,pf,1600201789,17,74,78.87,14.38
1009,-85.84168469384787,-8.719517924405494,sechura,pe,1600201789,19,56,73.83,16.02
1012,130.61020470531417,8.434721930360894,kloulklubed,pw,1600201349,75,88,77.0,8.99
1014,154.3144399457271,-35.54826402514654,sydney,au,1600201517,9,87,59.0,5.82
1015,-12.374338831339344,13.737440472747735,bakel,sn,1600201790,16,53,89.65,9.42
1016,-64.59679604637594,44.140889588817004,liverpool,ca,1600201790,100,88,63.0,5.82
1017,55.92703999105788,34.78916410840951,tabas,ir,1600201790,0,19,78.8,6.93
1020,-122.99981962737749,36.228603198639064,pacific grove,us,1600201791,1,53,73.4,10.29
1021,127.82589582124729,8.540042128608931,barcelona,ph,1600201791,0,83,78.01,5.82
1023,176.75387590798528,-43.27206779832335,waipawa,nz,1600201791,0,50,53.01,8.05
1026,48.38158480144534,46.02364081369586,kirovskiy,ru,1600201791,100,96,55.2,1.74
1028,-33.63699446385576,-8.636737531857904,olinda,br,1600201613,75,74,78.8,13.87
1030,68.84681188779365,56.32131876383832,golyshmanovo,ru,1600201714,100,94,51.91,8.81
1032,-72.76353769651733,11.865897348420617,manaure,co,1600201792,20,63,93.2,6.93
1038,118.07140134005317,60.393628172644156,suntar,ru,1600201792,72,84,44.08,2.15
1042,-75.95516583063917,36.34442098198819,elizabeth city,us,1600201612,20,57,77.0,11.41
1043,42.96184741261084,38.70788381718714,adilcevaz,tr,1600201792,0,39,62.6,3.71
1044,51.198912782544426,2.024896713373778,hobyo,so,1600201793,0,84,77.65,24.16
1051,-66.63438934972802,50.36783751432782,sept-iles,ca,1600201793,75,62,51.8,6.93
1061,135.57572330569565,27.23916316994547,kushima,jp,1600201793,100,94,73.0,3.0
1062,60.31557688212061,28.347847276356106,khash,ir,1600201793,73,28,61.12,5.01
1063,163.93142914470292,-26.799654162260786,noumea,nc,1600201511,20,72,66.2,2.24
1064,-76.38774634712784,20.41975905030607,jiguani,cu,1600201794,75,66,87.8,9.17
1067,-19.573228943075918,29.751115715812077,los llanos de aridane,es,1600201794,20,78,75.99,11.41
1069,-19.030241090723393,68.6016500088015,dalvik,is,1600201794,75,75,46.4,2.24
1074,-99.99140135872553,7.996706790870633,puerto escondido,mx,1600201794,75,66,84.2,6.93
1082,144.8651843707255,-5.477055777632842,kundiawa,pg,1600201794,86,78,59.77,1.61
1087,95.54300733978454,50.1567396780124,erzin,ru,1600201795,2,82,82.0,0.58
1089,142.74897286022372,-17.184985121124342,mareeba,au,1600201795,40,83,69.8,10.29
1092,142.9016059838881,-3.0661875212743155,aitape,pg,1600201795,100,79,77.14,3.83
1093,58.424830251465266,-17.577294425158982,cap malheureux,mu,1600201795,94,70,66.99,3.0
1095,-172.3659769321934,-18.976464239929612,neiafu,to,1600201796,40,83,75.2,5.82
1096,-101.26023389625071,59.43388630363856,flin flon,ca,1600201796,90,66,50.0,11.41
1099,-69.76434751916301,10.357364311471557,carora,ve,1600201796,78,40,92.66,9.84
1102,-100.80327342579037,37.07069633827001,liberal,us,1600201796,1,39,82.4,11.41
1107,125.30980139540372,39.28470689108977,dandong,cn,1600201589,100,92,66.67,16.69
1117,112.53629180806001,22.420050296528544,sanbu,cn,1600201797,27,97,66.74,3.4
1118,129.1732027402901,-4.027700252382445,amahai,id,1600201798,91,85,75.2,2.55
1122,-83.05673289633589,-28.883814518400975,coquimbo,cl,1600201798,75,71,55.4,8.05
1123,47.53274897949785,-20.943469015296046,ifanadiana,mg,1600201798,90,90,63.95,0.98
1134,30.060140788943244,23.887603821472695,aswan,eg,1600201799,0,18,90.18,9.89
1135,50.06854106917913,67.09507306210668,ust-tsilma,ru,1600201799,69,95,45.28,6.29
1136,89.1209115927266,45.114065039795264,urumqi,cn,1600201799,43,51,62.6,8.95
1140,164.6528372560055,-2.473154688495569,auki,sb,1600201800,96,83,78.73,4.97
1141,-39.195095524435175,-3.303044622447416,trairi,br,1600201673,54,59,81.12,15.55
1144,-151.52251015783335,31.217718858109436,kahului,us,1600201096,20,48,87.8,12.75
1149,16.96613984093287,31.57223389697903,surt,ly,1600201800,41,72,80.02,12.68
1156,85.72166140358433,62.345018981798916,belyy yar,ru,1600201801,60,93,39.2,4.47
1159,-68.43661272947213,-16.47395071392559,la paz,bo,1600201801,75,44,57.2,11.41
1162,161.1632742466507,39.86390014112419,severo-kurilsk,ru,1600201801,40,80,52.63,13.91
1166,-55.48627892618674,68.93546847580203,kangaatsiaq,gl,1600201802,100,78,40.71,12.37
1171,-19.68522213712305,1.5143027943176435,bonthe,sl,1600201802,100,89,77.04,5.39
1174,-59.841085625172255,3.543348886662116,lethem,gy,1600201803,95,76,81.18,5.1
1177,82.68611367523897,6.633443860908258,kalmunai,lk,1600201803,100,75,80.46,9.78
1179,113.61984913131153,21.252365279970775,zhuhai,cn,1600201804,40,89,84.2,9.17
1181,161.78727387964057,1.2318451115041853,buala,sb,1600201804,100,79,82.22,11.54
1182,36.327146840550455,-37.101781951793505,margate,za,1600201805,39,80,69.01,3.31
1183,-59.99913637352134,-23.385587089521536,pozo colorado,py,1600201805,100,39,85.55,2.01
1184,109.1342662936097,65.60905493446887,aykhal,ru,1600201805,1,81,46.4,4.47
1186,11.566099461309307,60.13878186666287,arnes,no,1600201806,75,87,57.99,10.29
1187,-53.089546889428334,-3.771776717160492,altamira,br,1600201806,20,46,93.2,5.82
1188,-115.66164127679227,54.36501372375349,whitecourt,ca,1600201806,90,75,46.4,16.11
1191,161.24527986216822,-13.080160432380353,kirakira,sb,1600201807,100,82,80.73,16.91
1192,93.56282128177725,16.750248522197822,pathein,mm,1600201808,95,89,78.12,2.59
1194,83.00892162445803,26.129055811987826,nizamabad,in,1600201808,99,88,75.83,2.86
1195,-85.17428268582731,44.801472826488606,traverse city,us,1600201808,90,47,77.0,13.87
1196,65.41907461592814,67.69953024259618,kharp,ru,1600201809,100,90,45.19,3.49
1197,122.44766023512165,38.267051583656496,weihai,cn,1600201809,51,87,70.25,11.56
1199,-125.35290173545624,42.48533019908112,coos bay,us,1600201809,90,73,80.01,9.17
1206,152.13102994502242,-11.486844222812579,samarai,pg,1600201809,98,84,79.36,13.29
1208,-22.328788320791034,35.69262455120746,vila franca do campo,pt,1600201768,20,59,66.2,6.93
1214,-7.446044660863095,73.3334664680923,klaksvik,fo,1600201810,30,100,44.6,3.22
1221,-99.86123404458472,21.37994389103612,san ciro de acosta,mx,1600201810,95,71,72.21,4.29
1223,74.89323321044114,31.34339680428856,patti,in,1600201811,75,79,87.8,3.15
1224,41.406807324038425,46.128753833138745,krasnaya polyana,ru,1600201811,84,93,44.71,7.83
1225,10.23987509596779,66.70969063755419,rorvik,no,1600201811,75,81,48.2,10.29
1227,-28.151404071806354,15.82678104827366,porto novo,cv,1600201811,20,94,73.4,1.12
1230,-109.49780648221812,33.323356501265735,safford,us,1600201812,1,27,87.8,7.43
1233,-68.02332798704396,-33.95629746412253,san rafael,ar,1600201755,28,15,78.71,8.39
1234,67.89167289210164,20.646197039650346,dwarka,in,1600201812,34,81,82.26,10.31
1240,17.911872357870465,-10.633796605589453,camacupa,ao,1600201812,8,55,67.93,4.7
1244,-104.87294811931189,34.38057856526525,roswell,us,1600201644,90,73,71.6,4.7
1245,148.0734157496421,-23.481848619380983,emerald,au,1600201813,40,87,59.0,6.93
1248,101.50825661544258,48.044661523359906,moron,mn,1600201514,100,45,61.0,3.0
1249,173.05016163347142,-43.2180853174015,amberley,nz,1600201813,1,46,75.0,5.82
1251,-131.5970625256018,42.7656102008946,north bend,us,1600201813,90,73,80.01,9.17
1255,72.34874366088462,32.69455395632994,talagang,pk,1600201814,0,38,85.37,3.87
1261,165.76564534708928,60.26144183017951,tilichiki,ru,1600201814,4,85,42.62,5.55
1263,19.00874457883498,10.133002103319157,kyabe,td,1600201814,79,90,71.13,2.98
1265,81.984564158257,53.99229166723245,ordynskoye,ru,1600201814,88,60,57.54,11.01
1270,-63.15473482876973,-4.7253909555978595,coari,br,1600201815,95,48,90.19,3.0
1271,119.92079608897069,-11.536301758240754,waingapu,id,1600201815,83,83,73.44,9.17
1272,27.577140707209054,28.748076590065992,marsa matruh,eg,1600201815,40,73,77.0,8.05
1275,-106.44178895451148,31.193440942333467,praxedis guerrero,mx,1600201815,40,47,80.6,5.99
1278,-58.23258933659491,0.4276293839107552,urucara,br,1600201816,100,35,94.98,1.03
1280,56.66055237821337,50.09179170499763,aqtobe,kz,1600201816,49,61,50.0,11.18
1288,-95.4646971038521,24.11231775546068,nuevo progreso,mx,1600201816,94,62,84.0,5.01
1289,-26.23980576393288,-18.075592736969114,maceio,br,1600201817,20,73,77.0,10.29
1290,-34.54305541917401,-25.087246841059397,sao joao da barra,br,1600201817,21,73,77.0,19.46
1291,-76.91731654360167,24.33631356679807,nassau,bs,1600201817,1,48,66.99,3.36
1292,-102.49423757411789,30.6782471707879,west odessa,us,1600201817,1,37,82.99,3.29
1293,40.83041240735773,42.42105302355503,sukhumi,ge,1600201817,56,82,72.95,3.02
1294,111.64173803312548,-10.14044438301869,boyolangu,id,1600201818,98,88,70.5,1.05
1295,-159.62786326725774,18.24616135783458,makakilo city,us,1600201818,1,65,86.0,5.82
1297,80.55643041584608,55.185898640788764,kargat,ru,1600201818,89,66,56.8,11.65
1306,-126.63922939391361,39.552867787429165,fortuna,us,1600201818,20,44,77.0,5.82
1307,5.870254178716351,15.663942341833845,abalak,ne,1600201819,98,88,53.06,8.05
1311,124.60321790020913,-7.7314360875925985,atambua,id,1600201819,92,83,66.51,5.01
1319,-44.20058182527552,-11.696932489689289,riachao das neves,br,1600201819,40,24,86.05,4.92
1329,20.94964855531896,13.537338252129302,abeche,td,1600201333,100,67,77.29,17.96
1331,-58.48493589070662,-3.4712884849498664,itacoatiara,br,1600201684,100,30,97.95,2.21
1334,-77.31480812636457,34.01240371452825,wilmington,us,1600201645,75,51,82.4,12.75
1336,33.05687617916615,10.719322810493537,asosa,et,1600201820,100,99,62.44,2.1
1337,-102.75663995121778,13.789610673704075,petatlan,mx,1600201820,75,66,86.0,5.82
1342,-77.86869797486828,13.179102549882032,cartagena,co,1600201761,75,94,82.4,3.36
1346,111.57090814178105,5.166778372196404,bintulu,my,1600201820,40,100,73.4,3.36
1347,151.1788593413437,-30.353391345483125,armidale,au,1600201821,9,87,44.01,2.62
1349,11.52113822037137,47.878945694081324,geretsried,de,1600201821,4,92,64.99,3.13
1350,39.22232209894017,28.814501848387806,sakakah,sa,1600201821,0,11,91.4,8.05
1355,-101.0765246460617,37.92955328521566,garden city,us,1600201821,75,49,73.4,9.17
1356,71.80906100326789,22.010060024076097,dhola,in,1600201564,100,84,80.17,7.31
1358,58.24497273054615,29.28675005919858,bam,ir,1600201822,0,18,72.5,9.69
1368,-7.403159970298816,51.91198446120134,kill,ie,1600201822,90,100,60.01,5.82
1370,-71.39470751139376,4.976869506201325,orocue,co,1600201822,91,60,88.7,3.24
1371,141.23911833795688,-7.258361262082715,kiunga,pg,1600201823,100,98,73.08,2.95
1380,84.75433746592097,14.755686293749449,yanam,in,1600201823,47,94,77.88,2.46
1381,28.7826129012617,54.57682058094332,senno,by,1600201823,14,95,42.4,2.89
1389,-121.45291814385756,35.24640778153359,morro bay,us,1600201823,0,21,91.99,4.0
1390,-57.55241061527008,-29.340347249810094,mercedes,ar,1600201824,100,56,61.0,3.0
1394,-43.146967314620525,-33.17575457484038,laguna,br,1600201824,0,37,87.01,1.01
1395,-38.62957632639521,4.881147991498423,itarema,br,1600201824,60,67,79.02,18.99
1407,102.38482337889894,33.477975461498346,linxia,cn,1600201825,100,64,50.68,1.43
1411,25.851393469343748,37.094975831388496,kamarion,gr,1600201825,0,69,78.01,1.99
1412,165.729247173805,-38.934383832486326,hokitika,nz,1600201825,100,77,46.99,8.86
1415,-3.2573617501728904,47.86575508706508,hennebont,fr,1600201825,70,88,70.0,6.93
1419,150.3630724671665,-29.088506286072217,moree,au,1600201819,3,76,55.4,9.17
1420,44.01040047305648,25.19886912613228,buraydah,sa,1600201826,0,19,87.8,8.05
1423,81.4928564752376,24.108595107462307,beohari,in,1600201826,100,86,77.47,4.36
1424,127.46108625346312,44.59615976776149,shanhetun,cn,1600201826,100,73,59.36,6.44
1432,-116.98770544509895,58.676293453777646,high level,ca,1600201826,40,46,50.0,10.29
1434,177.73302900731625,-7.54270061373937,asau,tv,1600201827,99,77,63.0,2.24
1436,80.2424446627868,14.753074234906222,kavali,in,1600201827,99,83,78.82,9.17
1452,18.956386384730138,53.22021824838919,wabrzezno,pl,1600201827,15,73,72.0,1.01
1457,-19.59433698518231,14.94911899733674,dakar,sn,1600201564,39,79,84.2,4.7
1463,-39.748020868384856,-6.019947957430517,mombaca,br,1600201827,100,34,85.59,5.32
1465,-84.51511935640124,46.75198999877267,sault sainte marie,ca,1600201609,40,64,71.6,12.75
1467,-158.16034106002894,21.969446882689496,wahiawa,us,1600201687,90,58,86.0,5.93
1474,158.3784248114261,-1.2974764061130628,kieta,pg,1600201828,100,85,76.1,3.96
1475,-51.440081363026366,-12.905774026938772,sao miguel do araguaia,br,1600201556,0,16,98.98,5.19
1485,3.540408610702883,40.03385916860398,alcudia,es,1600201828,0,83,75.2,2.24
1491,-60.56327331144627,-36.03998885761982,nueve de julio,ar,1600201829,23,34,66.0,5.01
1492,4.252782181708568,15.963363911030285,tahoua,ne,1600201829,18,39,89.67,4.23
1498,140.89780958669883,-45.09947500166627,burnie,au,1600201829,100,83,46.99,1.99
